Sex,Age group,1997 Mid-year,1997 Year-end,1998 Mid-year,1998 Year-end,1999 Mid-year,1999 Year-end,2000 Mid-year,2000 Year-end,2001 Mid-year,2001 Year-end,2002 Mid-year,2002 Year-end,2003 Mid-year,2003 Year-end,2004 Mid-year,2004 Year-end,2005 Mid-year,2005 Year-end,2006 Mid-year,2006 Year-end,2007 Mid-year,2007 Year-end,2008 Mid-year,2008 Year-end,2009 Mid-year,2009 Year-end,2010 Mid-year,2010 Year-end,2011 Mid-year,2011 Year-end,2012 Mid-year,2012 Year-end,2013 Mid-year,2013 Year-end,2014 Mid-year,2014 Year-end,2015 Mid-year,2015 Year-end,2016 Mid-year,2016 Year-end,2017 Mid-year,2017 Year-end,2018 Mid-year,2018 Year-end,2019 Mid-year,2019 Year-end,2020 Mid-year,2020 Year-end,2021 Mid-year,2021 Year-end,2022 Mid-year
Female,All age groups,3253900.0,3274700.0,3293800.0,3322700.0,3341800.0,3366600.0,3388500.0,3423000.0,3432300.0,3447400.0,3464500.0,3458800.0,3471700.0,3497500.0,3516700.0,3531200.0,3549200.0,3569800.0,3587000.0,3618800.0,3632400.0,3650800.0,3667600.0,3675000.0,3688000.0,3707200.0,3729900.0,3751400.0,3768600.0,3795200.0,3822800.0,3838900.0,3849000.0,3870400.0,3885000.0,3900900.0,3925700.0,3941100.0,3961200.0,3987600.0,3999600.0,4015300.0,4041200.0,4065400.0,4083900.0,4088100.0,4064500.0,4039000.0,4030800.0,4023000.0,3962000.0
Both sexes,0 - 4,363200.0,348700.0,339700.0,325900.0,322300.0,305300.0,294700.0,282500.0,272800.0,261800.0,251700.0,242000.0,237300.0,234200.0,227700.0,224900.0,221100.0,213900.0,213000.0,221500.0,214500.0,223500.0,219200.0,226200.0,226000.0,231300.0,238000.0,248600.0,249200.0,254900.0,262300.0,264200.0,259700.0,258500.0,265500.0,271200.0,281800.0,279100.0,279500.0,278800.0,273300.0,262700.0,267800.0,265400.0,261500.0,255200.0,246700.0,236600.0,229000.0,221900.0,211300.0
Both sexes,5 - 9,390600.0,395200.0,399100.0,399700.0,402200.0,401700.0,401500.0,399900.0,396400.0,391700.0,389600.0,378200.0,372400.0,365500.0,355600.0,341300.0,332800.0,323000.0,314100.0,299300.0,294300.0,277700.0,280400.0,266300.0,262900.0,257100.0,253200.0,243900.0,243200.0,248700.0,244200.0,252600.0,248100.0,259300.0,262700.0,268400.0,279200.0,289200.0,291800.0,296200.0,301300.0,305700.0,305900.0,302000.0,309700.0,307900.0,303100.0,293500.0,289400.0,282200.0,270800.0
Both sexes,10 - 14,424200.0,418800.0,420600.0,429000.0,429800.0,430400.0,431900.0,432400.0,429300.0,429900.0,432700.0,431000.0,429900.0,423600.0,421900.0,418100.0,415000.0,411600.0,412100.0,412900.0,409700.0,404000.0,396600.0,386900.0,374900.0,362500.0,353000.0,339600.0,331100.0,310900.0,306400.0,288600.0,288700.0,277600.0,275300.0,270200.0,265400.0,256900.0,259200.0,267500.0,263700.0,275500.0,274000.0,281400.0,281300.0,286400.0,286100.0,291500.0,289400.0,289600.0,290600.0
Both sexes,15 - 19,457600.0,467300.0,465200.0,469700.0,462800.0,465000.0,459000.0,456600.0,446000.0,441500.0,438100.0,433600.0,430200.0,434300.0,435800.0,435000.0,434200.0,437300.0,436200.0,440500.0,440900.0,442900.0,441100.0,433500.0,431100.0,430100.0,428000.0,425500.0,423700.0,422400.0,419700.0,414700.0,405700.0,399200.0,386500.0,373500.0,362400.0,349300.0,340900.0,320400.0,312300.0,294600.0,295400.0,285000.0,281600.0,280600.0,270500.0,263100.0,264900.0,276200.0,260000.0
Both sexes,20 - 24,475800.0,473800.0,471300.0,472300.0,469600.0,470600.0,466800.0,472800.0,467900.0,462100.0,455000.0,451800.0,451900.0,459500.0,465700.0,469500.0,470900.0,470600.0,472400.0,469600.0,465300.0,460400.0,456800.0,456000.0,454300.0,453100.0,451700.0,453700.0,451500.0,455000.0,457800.0,458400.0,457500.0,452400.0,450800.0,449700.0,448700.0,444800.0,445100.0,443500.0,438500.0,431600.0,422600.0,413300.0,397800.0,381900.0,365800.0,344200.0,326200.0,325600.0,290100.0
Both sexes,25 - 29,534900.0,532400.0,535000.0,529000.0,530500.0,532000.0,533200.0,528900.0,524100.0,519200.0,510600.0,497300.0,491300.0,487300.0,485500.0,483300.0,486700.0,496900.0,502300.0,508400.0,513700.0,520600.0,527800.0,529900.0,532300.0,533000.0,534900.0,533000.0,534100.0,531300.0,528800.0,521100.0,516500.0,516100.0,515000.0,512500.0,513600.0,513100.0,510200.0,508000.0,505000.0,501200.0,497900.0,490400.0,490100.0,486400.0,480000.0,465300.0,458400.0,448100.0,433000.0
Both sexes,30 - 34,639400.0,625000.0,613800.0,603200.0,595100.0,585100.0,585300.0,585600.0,582300.0,579500.0,580700.0,574600.0,573300.0,567100.0,564100.0,558900.0,556400.0,549600.0,548400.0,552000.0,549800.0,542500.0,541200.0,536700.0,535800.0,535100.0,539200.0,545400.0,550000.0,554000.0,561200.0,567300.0,573300.0,577300.0,579000.0,577100.0,578800.0,575600.0,577200.0,574300.0,568000.0,560000.0,557400.0,558200.0,555700.0,552800.0,546200.0,535900.0,527000.0,519200.0,510600.0
Both sexes,35 - 39,678300.0,682000.0,687500.0,686700.0,692400.0,695400.0,689600.0,684300.0,683200.0,678100.0,669400.0,651600.0,637600.0,626300.0,614900.0,598500.0,590900.0,586600.0,579400.0,576600.0,575100.0,575300.0,575400.0,571500.0,571700.0,571800.0,570700.0,564100.0,562600.0,564800.0,566000.0,560200.0,558300.0,557500.0,556300.0,555300.0,559300.0,565700.0,571300.0,577300.0,584700.0,592700.0,601200.0,606700.0,609500.0,608200.0,604400.0,592500.0,587700.0,574800.0,560700.0
Both sexes,40 - 44,572100.0,588000.0,604400.0,623800.0,631700.0,640700.0,658800.0,674600.0,678700.0,680800.0,687600.0,691500.0,694800.0,695400.0,699200.0,697800.0,689200.0,675000.0,669700.0,664200.0,651700.0,635200.0,621500.0,607600.0,597100.0,585200.0,579900.0,576900.0,572700.0,571400.0,575900.0,577600.0,577500.0,576600.0,578100.0,579200.0,578300.0,570700.0,569800.0,574300.0,573200.0,568900.0,570200.0,570000.0,572700.0,576900.0,579700.0,583400.0,586600.0,583900.0,583500.0
